time,V(N001),V(N002),V(N003),I(V1),I(R1),I(I1),I(R2),I(R3)
0,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
3e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
4e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
5e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
6e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
7e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
8e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
9e-06,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.1e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.2e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.3e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.4e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.5e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.6e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.7e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.8e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
1.9e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.1e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.2e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.3e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.4e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.5e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
2.6e-05,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
